unique_identifier,employee_feedback,department,clean_employee_feedback,word_count
4824,"While I appreciate the flexibility offered by the company, I sometimes feel like the boundaries between work and personal life are blurred. There can be an expectation that employees be available at all hours, which can lead to burnout and stress. It would be helpful to have clearer guidelines around expectations for availability and response times. Additionally, I think there could be more investment in mental health support and wellness initiatives. While there are resources available for employees who need them, they aren't always well advertised or fully utilized. More proactive support around mental health and wellness would be greatly appreciated.",Dept C,appreciate flexibility offered company sometimes feel like boundary work personal life blurred expectation employee available hour lead burnout stress would helpful clearer guideline around expectation availability response time additionally think could investment mental health support wellness initiative resource available employee need arent always well advertised fully utilized proactive support around mental health wellness would greatly appreciated,101
3941,"Walking the talk, showing empathy, being hands-on, having staff's back and actively helping to unblock obstacles, being candid, having humility to acknowledge shortcomings.",Dept C,walking talk showing empathy handson staff back actively helping unblock obstacle candid humility acknowledge shortcoming,23
5678,"The salary structure is transparent and fair, and I feel that my hard work is being adequately compensated.",Dept C,salary structure transparent fair feel hard work adequately compensated,18
5012,good to be  hear,Dept C,good hear,4
3218,I feel empowered to share my thoughts and contribute to the company's growth and success,Dept C,feel empowered share thought contribute company growth success,15
7135,"Staff here is vary concerning time and speed are taking our jobs after 3 years that i am here because my higher position , what can you expect?",Dept C,staff vary concerning time speed taking job year higher position expect,28
7979,You thinking honest Is good but you and employers don't accept facts like It was a Hate crime committed By staff,Dept C,thinking honest good employer dont accept fact like hate crime committed staff,21
5858,Employees should first research company before they agree to openess - which today appears not enough plus they Should sign clauses etc plus new starters must feel very unsafe given some management games if you know what I mean plus seniors same view; Clear management team blind to many of them now in redundancies senior plus... time these types were kicked out rather than move around. Enough damage done to everyone by people who think they own place via education etc Lets improve starting by getting rid of rubbish/ dead wood else we continue counting 6 months down another ££millions lost ++++,Dept C,employee first research company agree openess today appears enough plus sign clause etc plus new starter must feel unsafe given management game know mean plus senior view clear management team blind many redundancy senior plus time type kicked rather move around enough damage done everyone people think place via education etc let improve starting getting rid rubbish dead wood else continue counting month another million lost,102
4895,There is one boss Who plays favourites in front of others making inclusive working environment impossible so she Splits whole team thinks highly talented now where tehre is only one fav Boss feels like Hitler had control When there Everyone listened; Would have quit long ago only reason still here is because great pals however unless more joined us leaving next contract surely 95% would leave tomorrow xxxxxxxx feeling lonely then.. (Sorry they have often put me under immense pressure over last few weeks Really affecting family home life; unhealthy pressures xxxxxxxxxxxxxxxxx) No 8 week max service in any area signed into contract so horrible and Confusing xx temporary HR Advisor seemed to want more unfair pain xx live elsewhere was reassuring even though upset which leaves full time admin then in HQ when knowing all along I wasn't looking soon moving abroad - early next year London market won’t miss long departments suffering feeling like there with Hitler mood sucks x Traffic jams daily x tired hence errors written feels Unsafe place staff write answers f,Dept C,one bos play favourite front others making inclusive working environment impossible split whole team think highly talented tehre one fav bos feel like hitler control everyone listened would quit long ago reason still great pal however unless joined u leaving next contract surely would leave tomorrow xxxxxxxx feeling lonely sorry often put immense pressure last week really affecting family home life unhealthy pressure xxxxxxxxxxxxxxxxx week max service area signed contract horrible confusing xx temporary hr advisor seemed want unfair pain xx live elsewhere reassuring even though upset leaf full time admin hq knowing along wasnt looking soon moving abroad early next year london market wont miss long department suffering feeling like hitler mood suck x traffic jam daily x tired hence error written feel unsafe place staff write answer f,177
9498,Great team to work with,Dept C,great team work,5
2015,Recognition for good work,Dept C,recognition good work,4
2431,Opinion respected and valued,Dept C,opinion respected valued,4
1832,Benefits packages are adequate,Dept C,benefit package adequate,4
5864,Managers pay attention to feedback,Dept C,manager pay attention feedback,5
8617,Opportunity for professional growth limited,Dept C,opportunity professional growth limited,5
7063,Lack of open communication between colleagues,Dept C,lack open communication colleague,6
5785,Difficult to navigate company policies,Dept C,difficult navigate company policy,5
2468,Pay raises should be higher,Dept C,pay raise higher,5
2315,No recognition for extra effort,Dept C,recognition extra effort,5
1582,Some training opportunities provided,Dept C,training opportunity provided,4
7606,Appreciated efforts towards work-life balance,Dept C,appreciated effort towards worklife balance,5
7054,Career advancement depends on managerial whims,Dept C,career advancement depends managerial whim,6
5204,Job descriptions unclear or outdated,Dept C,job description unclear outdated,5
4110,I feel motivated and energized at work.,Dept C,feel motivated energized work,7
1366,I am proud to work for this company.,Dept C,proud work company,8
6010,My manager provides clear direction and support.,Dept C,manager provides clear direction support,7
3841,I have opportunities to learn and grow in my role.,Dept C,opportunity learn grow role,10
5709,My teammates are collaborative and helpful.,Dept C,teammate collaborative helpful,6
1191,I feel bored and unchallenged in my job.,Dept C,feel bored unchallenged job,8
3202,Upper management is disconnected from employees.,Dept C,upper management disconnected employee,6
1032,There are limited opportunities for career growth.,Dept C,limited opportunity career growth,7
8084,My workload is too heavy and difficult to balance.,Dept C,workload heavy difficult balance,9
7614,Communication across teams needs improvement.,Dept C,communication across team need improvement,5
1103,I like the work I do but wish I had more schedule flexibility.,Dept C,like work wish schedule flexibility,13
8599,My department runs efficiently but the company as a whole lacks vision.,Dept C,department run efficiently company whole lack vision,12
3825,"Although I receive good benefits, annual salary increases do not meet my expectations.",Dept C,although receive good benefit annual salary increase meet expectation,13
3024,Day-to-day operations are well-managed yet innovation and new ideas are lacking.,Dept C,daytoday operation wellmanaged yet innovation new idea lacking,11
4614,My job provides stability but lacks excitement and passion.,Dept C,job provides stability lack excitement passion,9
8118,"Overall, an OK place to work but looking for more purpose and meaning.",Dept C,overall ok place work looking purpose meaning,13
4427,"1. My team has a good rapport and I feel comfortable speaking up, but company-wide there seems to be a lack of transparency and willingness to address difficult issues. 2. There is room to improve on building trust and psychological safety across the organization.",Dept C,team good rapport feel comfortable speaking companywide seems lack transparency willingness address difficult issue room improve building trust psychological safety across organization,44
7090,"1) Immediate managers are available and supportive. However, senior leadership feels out of touch with the day-to-day realities that employees deal with. 2) More effort is needed from top executives to communicate strategy and engage with staff across all levels.",Dept C,immediate manager available supportive however senior leadership feel touch daytoday reality employee deal effort needed top executive communicate strategy engage staff across level,40
2944,"1. There are opportunities for career growth within my department, but limited mobility into other areas of the organization. 2. The career paths could be more clearly defined and support provided for those looking to develop cross-functional skills and advance their careers in new directions.",Dept C,opportunity career growth within department limited mobility area organization career path could clearly defined support provided looking develop crossfunctional skill advance career new direction,45
4102,"1) Meetings within my team are productive, yet company-wide meetings suffer from lack of purpose or clear agenda 2) More effective use of meeting time and providing a forum for two-way communication with leadership would make a major impact on engagement.",Dept C,meeting within team productive yet companywide meeting suffer lack purpose clear agenda effective use meeting time providing forum twoway communication leadership would make major impact engagement,41
2743,"Work-life balance varies greatly depending on team and manager. Flexibility and time off are sufficient for my needs, however others report unreasonable workload and expectations. Consistent policies around work hours and availability need to apply for all groups.",Dept D,worklife balance varies greatly depending team manager flexibility time sufficient need however others report unreasonable workload expectation consistent policy around work hour availability need apply group,38
6239,"Information is shared transparently on my team, though access to data and reports across units is lacking. Improved knowledge management and collaboration platforms would help break down silos and improve decision making at an enterprise level.",Dept D,information shared transparently team though access data report across unit lacking improved knowledge management collaboration platform would help break silo improve decision making enterprise level,36
1470,"My job provides steady work and adequate compensation. However, passion, creativity, and a sense of purpose or mission seem to be missing. Focusing on organizational culture, values, and tapping into employee motivations may help foster greater meaning, innovation, and commitment.",Dept D,job provides steady work adequate compensation however passion creativity sense purpose mission seem missing focusing organizational culture value tapping employee motivation may help foster greater meaning innovation commitment,40
2737,"Diversity programs highlight inclusiveness, but some teams lack representation and inclusion in practice. Progress on addressing systemic equity and belonging issues has been slow. Understanding diverse experiences and fostering an environment where all voices are valued could strengthen the company.",Dept D,diversity program highlight inclusiveness team lack representation inclusion practice progress addressing systemic equity belonging issue slow understanding diverse experience fostering environment voice valued could strengthen company,40
5547,"Operations and policies function well day-to-day, though the company direction and vision for the future are unclear. Strategic planning with input from all levels of staff may help provide coherent priorities and stronger future orientation.",Dept D,operation policy function well daytoday though company direction vision future unclear strategic planning input level staff may help provide coherent priority stronger future orientation,35
7835," Customer and community relationships are valued, however sustainability and social im",Dept D,customer community relationship valued however sustainability social im,11
8389,Clear objectives were set so everyone understood goals and priorities from the start. This helped align efforts.,Dept D,clear objective set everyone understood goal priority start helped align effort,17
5331,The team communicates openly. I feel comfortable voicing my ideas and concerns.,Dept D,team communicates openly feel comfortable voicing idea concern,12
3542,Leadership effectively empowers team members to make decisions and drive results.,Dept D,leadership effectively empowers team member make decision drive result,11
1149,My teammates are responsive and willing to assist when needed. Collaboration is seamless.,Dept D,teammate responsive willing assist needed collaboration seamless,13
9568,Responsibilities were divided logically based on individual strengths. This optimized talent and workflows.,Dept D,responsibility divided logically based individual strength optimized talent workflow,13
2402,Regular check-ins ensure we are on track. Adjustments are made quickly if issues arise.,Dept D,regular checkins ensure track adjustment made quickly issue arise,14
1280,Knowledge and best practices are freely shared between team members. We learn from each other.,Dept D,knowledge best practice freely shared team member learn,15
4768,Individual contributions are valued. People are recognized for their expertise and effort.,Dept D,individual contribution valued people recognized expertise effort,12
6975,The diverse perspectives within the team allow us to gain fresh insights and be innovative.,Dept D,diverse perspective within team allow u gain fresh insight innovative,15
1620,There is a good balance between structure and creativity. The process enables progress but allows flexibility.,Dept D,good balance structure creativity process enables progress allows flexibility,16
2063,Participation and idea generation are encouraged from all team members. Everyone feels heard.,Dept D,participation idea generation encouraged team member everyone feel heard,13
6502,Our team celebrates wins together. This maintains momentum and morale.,Dept D,team celebrates win together maintains momentum morale,10
7007,Our team has a shared sense of purpose. Working towards common goals brings out our best efforts.,Dept D,team shared sense purpose working towards common goal brings best effort,17
5254,Meeting calendars are respected. Time is managed effectively so work gets done.,Dept D,meeting calendar respected time managed effectively work get done,12
2012,There is good camaraderie and positive energy amongst teammates. This makes work enjoyable.,Dept D,good camaraderie positive energy amongst teammate make work enjoyable,13
3022,Conflicts are handled constructively. Differences of opinion do not become personal.,Dept D,conflict handled constructively difference opinion become personal,11
5809,Team members uphold commitments and deliver quality work on schedule. I can count on my colleagues.,Dept D,team member uphold commitment deliver quality work schedule count colleague,16
7590,Our documentation is thorough. Onboarding new members is quick since knowledge transfer is seamless.,Dept D,documentation thorough onboarding new member quick since knowledge transfer seamless,14
4622,"Feedback flows freely. Suggestions to improve are seen as opportunities, not criticism.",Dept D,feedback flow freely suggestion improve seen opportunity criticism,12
2635,Our team leads by example. The standards they set motivate me to excel.,Dept D,team lead example standard set motivate excel,13
3272,Cross-training and job shadowing help broaden skills. We can fill in for each other when needed.,Dept D,crosstraining job shadowing help broaden skill fill needed,16
5301,Virtual collaboration tools and communication channels are robust. Location or schedules do not impede teamwork.,Dept D,virtual collaboration tool communication channel robust location schedule impede teamwork,15
